# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
156 -0.523032 0.852312 -0.000834866 -33.9592 54.9081 3.54602 0
157 -0.523085 0.85228 -0.000834863 -33.9635 54.907 5.05292 0
158 -0.523138 0.852248 -0.000834859 -33.968 54.9057 6.55984 0
159 -0.523191 0.852215 -0.000834854 -33.9723 54.9045 8.06674 0
160 -0.523244 0.852182 -0.00083485 -33.9767 54.9034 9.57364 0
161 -0.523297 0.85215 -0.000834846 -33.981 54.9021 11.0805 0
162 -0.52335 0.852118 -0.000834841 -33.9854 54.9009 12.5874 0
163 -0.523402 0.852086 -0.000834837 -33.9898 54.8996 14.0943 0
164 -0.523455 0.852053 -0.000834832 -33.9941 54.8985 15.6012 0
165 -0.523508 0.852021 -0.000834828 -33.9985 54.8972 17.1081 0
166 -0.52356 0.851988 -0.000834824 -34.0028 54.8961 18.615 0
167 -0.523613 0.851955 -0.000834819 -34.0074 54.8949 20.1219 0
168 -0.523666 0.851923 -0.000834816 -34.0117 54.8937 21.6288 0
169 -0.523719 0.851891 -0.000834812 -34.0161 54.8925 23.1357 0
170 -0.523772 0.851858 -0.000834807 -34.0204 54.8912 24.6426 0
171 -0.523824 0.851826 -0.000834803 -34.0248 54.89 26.1495 0
172 -0.523877 0.851793 -0.000834798 -34.0292 54.8888 27.6564 0
173 -0.52393 0.851761 -0.000834794 -34.0335 54.8876 29.1633 0
174 -0.523983 0.851728 -0.00083479 -34.0379 54.8864 30.6702 0
175 -0.524035 0.851696 -0.000834785 -34.0423 54.8851 32.1771 0
176 -0.542572 0.840008 -0.000842292 -35.1503 54.1223 -32.6231 0
177 -0.542624 0.839975 -0.000842288 -35.1546 54.121 -31.1162 0
178 -0.542676 0.839941 -0.000842283 -35.1589 54.1197 -29.6093 0
179 -0.542729 0.839907 -0.000842279 -35.1633 54.1184 -28.1024 0
180 -0.542781 0.839874 -0.000842274 -35.1676 54.1171 -26.5955 0
181 -0.542833 0.83984 -0.000842271 -35.1719 54.1159 -25.0886 0
182 -0.542885 0.839807 -0.000842267 -35.1762 54.1145 -23.5817 0
183 -0.542937 0.839773 -0.000842263 -35.1806 54.1133 -22.0748 0
184 -0.542989 0.839739 -0.000842258 -35.1849 54.1121 -20.5679 0
185 -0.54304 0.839705 -0.000842254 -35.1892 54.1108 -19.061 0
186 -0.543092 0.839672 -0.00084225 -35.1936 54.1095 -17.5541 0
187 -0.543144 0.839638 -0.000842245 -35.1979 54.1082 -16.0472 0
188 -0.543197 0.839605 -0.000842242 -35.2023 54.1069 -14.5403 0
189 -0.543249 0.839572 -0.000842237 -35.2066 54.1056 -13.0334 0
190 -0.543301 0.839538 -0.000842233 -35.2109 54.1044 -11.5265 0
191 -0.543353 0.839503 -0.000842229 -35.2152 54.103 -10.0196 0
192 -0.543405 0.83947 -0.000842225 -35.2196 54.1017 -8.51268 0
193 -0.543457 0.839436 -0.00084222 -35.2239 54.1004 -7.00577 0
194 -0.543509 0.839403 -0.000842216 -35.2281 54.0991 -5.49887 0
195 -0.543561 0.839369 -0.000842213 -35.2325 54.0979 -3.99197 0
196 -0.543613 0.839336 -0.000842208 -35.2368 54.0965 -2.48507 0
197 -0.543665 0.839302 -0.000842204 -35.2413 54.0953 -0.978163 0
198 -0.543717 0.839268 -0.000842199 -35.2455 54.0939 0.528739 0
199 -0.543769 0.839235 -0.000842196 -35.2499 54.0927 2.03564 0
200 -0.543821 0.839201 -0.000842192 -35.2542 54.0913 3.54254 0
201 -0.543873 0.839167 -0.000842187 -35.2585 54.0901 5.04944 0
202 -0.543925 0.839133 -0.000842183 -35.2628 54.0888 6.55635 0
203 -0.543977 0.8391 -0.000842178 -35.2671 54.0875 8.06325 0
204 -0.544029 0.839066 -0.000842175 -35.2715 54.0862 9.57016 0
205 -0.544081 0.839033 -0.000842171 -35.2757 54.0849 11.0771 0
206 -0.544134 0.838998 -0.000842167 -35.2801 54.0837 12.584 0
207 -0.544186 0.838965 -0.000842162 -35.2844 54.0824 14.0909 0
208 -0.544238 0.838931 -0.000842158 -35.2888 54.0811 15.5978 0
209 -0.544289 0.838897 -0.000842154 -35.2931 54.0799 17.1047 0
210 -0.544341 0.838863 -0.000843149 -35.2975 54.0785 18.6116 0
211 -0.544392 0.838831 -0.000843146 -35.3018 54.0772 20.1185 0
212 -0.544444 0.838797 -0.000843142 -35.3061 54.0759 21.6254 0
213 -0.544496 0.838763 -0.000843138 -35.3104 54.0746 23.1323 0
